contig_id,cluster_id
NODE_7566_length_1116_cov_2.996230,21
NODE_340_length_8130_cov_4.635913,29
NODE_5869_length_1277_cov_1.852700,20
NODE_7773_length_1100_cov_2.078469,28
NODE_6598_length_1200_cov_2.109170,2
NODE_5715_length_1296_cov_1.460113,28
NODE_6205_length_1238_cov_5.818259,7
NODE_8577_length_1045_cov_1.383838,11
NODE_882_length_4107_cov_3.468904,7
NODE_6781_length_1182_cov_4.708075,2
NODE_769_length_4518_cov_2.851445,16
NODE_4846_length_1416_cov_1.707568,6
NODE_9171_length_1008_cov_2.062959,6
NODE_466_length_6320_cov_3.640543,7
NODE_6883_length_1173_cov_1.740608,20
NODE_2248_length_2181_cov_1.984478,3
NODE_8937_length_1023_cov_1.517562,17
NODE_3196_length_1771_cov_2.108974,7
NODE_1884_length_2418_cov_2.724503,3
NODE_2137_length_2242_cov_24.393690,31
NODE_131_length_18526_cov_4.714904,30
NODE_8972_length_1020_cov_2.050777,6
NODE_3776_length_1623_cov_1.480867,28
NODE_8399_length_1058_cov_1.410768,28
NODE_2236_length_2188_cov_1.736053,28
NODE_3068_length_1810_cov_2.443875,28
NODE_3735_length_1632_cov_2.525048,20
NODE_5186_length_1366_cov_1.881007,20
NODE_3328_length_1732_cov_12.041741,2
NODE_6506_length_1209_cov_1.636915,20
NODE_5161_length_1370_cov_2.306464,7
NODE_9233_length_1005_cov_1.673684,28
NODE_3107_length_1802_cov_2.260446,20
NODE_8444_length_1054_cov_1.849850,20
NODE_178_length_14068_cov_8.106544,29
NODE_5426_length_1332_cov_1.726703,28
NODE_3702_length_1640_cov_2.210095,3
NODE_8122_length_1076_cov_2.337904,20
NODE_2529_length_2023_cov_2.842988,3
NODE_5803_length_1284_cov_2.028478,16
NODE_1019_length_3683_cov_3.394983,16
NODE_3474_length_1702_cov_1.964177,20
NODE_8108_length_1077_cov_1.961840,2
NODE_7141_length_1150_cov_2.010046,28
NODE_4617_length_1457_cov_2.338802,11
NODE_8411_length_1057_cov_1.736527,3
NODE_7664_length_1109_cov_3.030361,28
